germline	S526	0.0
S526	S3191	1.0
S526	S153	2.0
S153	S1468	2.0
S1468	S2005	1.0
S2005	S733	1.0
S733	S1027	1.0
S153	S1043	2.0
S153	S454	2.0
S454	S7008	1.0
S454	S12341	1.0
S153	S616	2.0
S153	S173	2.0
S153	S2663	2.0
S153	S1182	2.0
S153	S1426	2.0
S153	S714	2.0
S714	S1974	1.0
S153	S5049	2.0
S153	S2959	2.0
S153	S8487	2.0
S8487	S9483	1.0
S153	S2431	2.0
S2431	S1412	1.0
S1412	S19170	1.0
S153	S3972	2.0
S153	S1513	2.0
S153	S7029	2.0
S153	S9930	2.0
S153	S3871	2.0
S3871	S8885	1.0
S1468	S4629	2.0
S153	S7774	2.0
S153	S8682	2.0
S153	S1808	2.0
S153	S14470	2.0
S153	S18025	2.0
S1043	S643	2.0
S153	S1917	2.0
S153	S13945	2.0
S1468	S8168	2.0
S1043	S2988	2.0
S1426	S1797	2.0
S616	S1311	2.0
S7029	S2220	2.0
S1182	S6665	2.0
S714	S8164	2.0
S7774	S316	2.0
S1182	S2542	2.0
S714	S7075	2.0
S8487	S9535	2.0
S8487	S934	2.0
S8487	S10941	2.0
S8487	S11862	2.0
S7075	S270	2.0
S1974	S1363	2.0
S3972	S2489	2.0
S7774	S1664	2.0
S1513	S1932	2.0
S3871	S10308	2.0
S9930	S5411	2.0
S9930	S15412	2.0
S7774	S14615	2.0
S14615	S1020	2.0
S1020	S2612	2.0
S8682	S12822	2.0
S3191	S9828	2.0
S13945	S6983	2.0
S153	S2	3.0
S1468	S4	3.0
S153	S646	3.0
S646	S12748	2.0
S153	S379	3.0
S153	S5631	3.0
S8487	S73	3.0
S153	S1738	3.0
S153	S19258	3.0
S1468	S75	3.0
S1468	S13841	3.0
S1468	S15308	3.0
S1468	S5017	3.0
S1468	S7423	3.0
S1043	S1190	3.0
S1043	S10283	3.0
S1043	S9876	3.0
S1043	S19036	3.0
S454	S21057	3.0
S454	S9272	3.0
S616	S18261	3.0
S616	S17719	3.0
S733	S7898	3.0
S173	S6741	3.0
S12822	S604	3.0
S3972	S1249	3.0
S2959	S423	3.0
S8487	S4784	3.0
S8487	S13494	3.0
S8487	S16802	3.0
S9930	S3363	3.0
S9483	S8123	3.0
S1917	S3575	3.0
S13945	S18458	3.0
S5411	S2642	3.0
S12822	S7412	3.0
S153	S833	4.0
S153	S7392	4.0
S153	S765	4.0
S153	S20054	4.0
S153	S2447	4.0
S1468	S2861	4.0
S1468	S11775	4.0
S2612	S1483	4.0
S1043	S19415	4.0
S1043	S1188	4.0
S733	S14208	4.0
S9535	S1734	4.0
S173	S12288	4.0
S714	S17863	4.0
S1426	S336	4.0
S379	S9821	4.0
S8682	S5961	4.0
S9930	S17428	4.0
S9930	S20102	4.0
S9930	S11796	4.0
S526	S16748	4.0
S7774	S19997	4.0
S2447	S3890	4.0
S13945	S10003	4.0
S153	S6524	5.0
S153	S9862	5.0
S153	S2722	5.0
S153	S19371	5.0
S153	S2243	5.0
S153	S15145	5.0
S1043	S8579	5.0
S1043	S19184	5.0
S173	S1741	5.0
S714	S15018	5.0
S5049	S415	5.0
S270	S20121	5.0
S9930	S7554	5.0
S12288	S11589	5.0
S1412	S19983	5.0
S8682	S225	5.0
S7008	S20295	5.0
S2489	S19989	5.0
S5411	S8866	5.0
S1426	S856	6.0
S1182	S11408	6.0
S3191	S9869	6.0
S13841	S7808	6.0
S2	S1623	7.0
S646	S773	7.0
S2663	S2554	7.0
S2959	S4343	7.0
S9930	S4403	7.0
S12288	S3395	7.0
S13945	S12472	7.0
S15308	S17214	7.0
S2988	S256	8.0
S153	S18060	8.0
S1468	S12355	8.0
S1020	S1170	8.0
S1043	S16206	8.0
S1513	S12995	8.0
S12748	S16267	8.0
S7075	S12626	8.0
S3363	S11810	8.0
S454	S15169	9.0
S454	S18557	9.0
S616	S14139	9.0
S646	S464	9.0
S2663	S3264	9.0
S9930	S14421	9.0
S7008	S16446	9.0
S1468	S5013	10.0
S1468	S6078	10.0
S1043	S5459	10.0
S1468	S17649	11.0
S153	S4048	12.0
S9930	S7575	12.0
S7774	S17545	12.0
S1182	S20052	13.0
S1182	S5648	13.0
S15169	S1000	13.0
S153	S16073	14.0
S4	S16619	14.0
S5049	S444	14.0
S12288	S10355	14.0
S7008	S228	15.0
S1043	S17657	17.0
S1468	S19135	19.0
S1426	S17613	20.0
S1043	S19224	21.0
S616	S16914	23.0
S1426	S19476	24.0
S2959	S1758	28.0
S3871	S12112	30.0
S8682	S3529	30.0
S15308	S19269	33.0
