germline	S186891	1.0
germline	S26217	2.0
S26217	S29166	2.0
S29166	S25047	2.0
S26217	S28783	2.0
S28783	S26602	2.0
S26602	S40576	3.0
S40576	S29984	2.0
S40576	S122996	2.0
S29984	S42673	2.0
S42673	S38526	2.0
S122996	S45096	2.0
S45096	S120467	2.0
S122996	S28146	2.0
S28146	S28251	2.0
S28251	S25650	2.0
S25650	S23772	2.0
S23772	S25882	2.0
S25882	S25547	3.0
S25547	S49367	3.0
S49367	S26520	3.0
S40576	S27686	3.0
S27686	S183992	3.0
S49367	S44460	3.0
S44460	S49493	3.0
S23772	S119585	3.0
S27686	S23240	3.0
S23772	S26361	3.0
S23772	S29353	3.0
S23772	S123800	3.0
S49367	S23481	3.0
S23481	S41822	2.0
S23481	S45871	3.0
S23481	S24142	3.0
S44460	S27005	3.0
S29166	S27057	3.0
S40576	S151755	3.0
S151755	S25495	2.0
S151755	S39192	2.0
S25495	S185561	2.0
S151755	S39807	3.0
S23772	S30011	3.0
S23772	S39248	3.0
S49367	S26055	3.0
S44460	S180256	3.0
S44460	S45939	3.0
S26602	S28447	3.0
S49367	S31837	3.0
S40576	S47683	3.0
S40576	S38510	3.0
S151755	S29938	3.0
S26055	S121046	3.0
S121046	S43146	2.0
S40576	S24084	3.0
S29166	S29021	3.0
S42673	S43268	3.0
S45096	S38831	3.0
S49367	S40824	3.0
S40824	S185087	2.0
S49493	S48273	3.0
S26217	S185950	3.0
S49367	S155181	3.0
S27005	S123121	3.0
S43268	S179613	3.0
S27005	S125121	3.0
S27005	S186828	3.0
S185561	S39641	3.0
S26520	S861	4.0
S44460	S23556	4.0
S23481	S28733	4.0
S44460	S48060	4.0
S27686	S24955	4.0
S23772	S42133	4.0
S23772	S29115	4.0
S44460	S30255	4.0
S23481	S44749	4.0
S23481	S119064	4.0
S39248	S29121	4.0
S26055	S45754	4.0
S44460	S24235	4.0
S44460	S30295	4.0
S23481	S52736	4.0
S23481	S43430	4.0
S40576	S28988	4.0
S26055	S28081	4.0
S26602	S40120	4.0
S26602	S30023	4.0
S26602	S45300	4.0
S29166	S44110	4.0
S29166	S151272	4.0
S151272	S26670	4.0
S49367	S87016	4.0
S29166	S26867	4.0
S29166	S23809	4.0
S151755	S49301	4.0
S151755	S185568	4.0
S151755	S184153	4.0
S121046	S23934	4.0
S24955	S39833	4.0
S38526	S45293	4.0
S45293	S47109	4.0
S120467	S40172	4.0
S42673	S32546	4.0
S42673	S185538	4.0
S26217	S151761	4.0
S45096	S43305	4.0
S155181	S32900	4.0
S25547	S29280	5.0
S49367	S9132	5.0
S23481	S25607	5.0
S26520	S27273	5.0
S23481	S32954	5.0
S47683	S26504	5.0
S23481	S184870	5.0
S44460	S121073	5.0
S23481	S150101	5.0
S29166	S33090	5.0
S26055	S44363	5.0
S29166	S45415	5.0
S23481	S49586	5.0
S23481	S154315	5.0
S26055	S44232	5.0
S31837	S48800	5.0
S40576	S181793	5.0
S29166	S118018	5.0
S151755	S154790	5.0
S151755	S185109	5.0
S26217	S30930	5.0
S25047	S47130	5.0
S25047	S46635	5.0
S42673	S48256	5.0
S120467	S151501	5.0
S40824	S124585	5.0
S38526	S41378	5.0
S44460	S24758	6.0
S23772	S46445	6.0
S44460	S44214	6.0
S26055	S119299	6.0
S151755	S28796	6.0
S40576	S26360	6.0
S40576	S32171	6.0
S25882	S24700	6.0
S28081	S25646	6.0
S42673	S125246	6.0
S42673	S24382	6.0
S123800	S27748	6.0
S48273	S30356	6.0
S185561	S42572	6.0
S25547	S42465	7.0
S25547	S183109	7.0
S23772	S33000	7.0
S26520	S181416	7.0
S44460	S44158	7.0
S26055	S24851	7.0
S40576	S30741	7.0
S26602	S120602	7.0
S26602	S153768	7.0
S23772	S185368	7.0
S29166	S122939	7.0
S25047	S27958	7.0
S28251	S40478	7.0
S185561	S42196	7.0
S185561	S119235	7.0
S155181	S38992	7.0
S23481	S26525	8.0
S26520	S23362	8.0
S27686	S117848	8.0
S44460	S32582	8.0
S44460	S32280	8.0
S27686	S154448	8.0
S26602	S41511	8.0
S23772	S47888	8.0
S29166	S27562	8.0
S45939	S28379	8.0
S28081	S48780	8.0
S45096	S150421	8.0
S48256	S119479	8.0
S25547	S182764	9.0
S26602	S22744	9.0
S23772	S124738	9.0
S26055	S45880	9.0
S26055	S47025	9.0
S25495	S22922	9.0
S26520	S187272	10.0
S23772	S117963	10.0
S29166	S49656	10.0
S26602	S124016	10.0
S28251	S185405	10.0
S27005	S28552	10.0
S23481	S27616	11.0
S151755	S153643	11.0
S40824	S41630	11.0
S151755	S49638	12.0
S44460	S43886	12.0
S23481	S47753	12.0
S26520	S24760	13.0
S29166	S40496	13.0
S49367	S28047	13.0
S40576	S48556	21.0
S120467	S154367	25.0
