germline	S3502	1.0
germline	S2555	1.0
germline	S4036	1.0
S4036	S2269	2.0
S4036	S3225	2.0
germline	S2026	2.0
germline	S3321	2.0
germline	S4537	2.0
germline	S5008	2.0
germline	S2926	3.0
germline	S3642	3.0
germline	S5143	3.0
germline	S5302	3.0
germline	S5473	3.0
germline	S3345	3.0
germline	S2272	4.0
germline	S2927	4.0
germline	S2108	4.0
germline	S4162	4.0
S3225	S4802	4.0
S4802	S2554	4.0
germline	S2247	4.0
germline	S3059	5.0
germline	S4136	5.0
germline	S5141	6.0
germline	S3061	7.0
germline	S2709	7.0
germline	S4007	8.0
germline	S5424	15.0
germline	S2151	17.0
